aer;V V Chari;pch40
aer;Veronica Guerrieri;pgu220
aer;Vikrant Vig;pvi304
aer;Vincent Sterk;pst482
aer;Vincent Yao;pya131
aer;Vincenzo Denicol;pde132
aer;Vivian Yue;pyu120
aer;Vladimir Asriyan;pas138
aer;W Michael Hanemann;pha1102
aer;Wei Jiang;pji126
aer;Wei Li;pli922
aer;Weijie Zhong;pzh624
aer;Wieland M ller;pml15
aer;William Adams;pad80
aer;William Jack;pja302
aer;Wojciech Olszewski;pol76
aer;Wouter J Den Haan;pde12
aer;Xiaodong Zhu;pzh43
aer;Yann Bramoull;pbr146
aer;Yifan Zhang;pzh357
aer;Yong Kim;pki175
aer;Young Han Lee;ple304
aer;Young Han Lee;pki101
aer;yvind Thomassen;pth181
econometrica;A M Robert Taylor;pta27
econometrica;A Pakes;ppa20
econometrica;Ali Hortacsu;pho408
econometrica;Anderlini Luca;pan51
econometrica;Anna Bogomolnaia;pbo1056
econometrica;Armando Gomes;pgo6
econometrica;Battalio Raymond;pba1134
econometrica;Bergin James;pbe225
econometrica;Berliant Marcus;pbe122
econometrica;Bester Helmut;pbe134
econometrica;C Gourieroux;pgo144
econometrica;Chew Soo Hong;pch1586
econometrica;Cochrane John H;pco57
econometrica;Costa Gomes Miguel;pco25
econometrica;David Dillenberger;pdi167
econometrica;Dean Corbae;pco94
econometrica;Dutta Bhaskar;pdu147
econometrica;E Elisabet Rutstrom;pru237
econometrica;E Mammen;pma279
econometrica;E Renault;pre313
econometrica;Edlin Aaron S;ped12
econometrica;Eugenio S A Bobenrieth H;pbo449
econometrica;Felli Leonardo;pfe85
econometrica;Frankel David M;pfr97
